idrid	image_id	data_location	is_zarr	download_url	client_path	bia_ngff_id	bia_url	external_info
idr0063	12922202	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0063-newman-chromosomalloci	nfs/bioimage/drop/idr0063-newman-chromosomalloci/20190708-ftp/HET5WT1_t0.tif			
idr0062	6001237	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0062-blin-nuclearsegmentation	uod/idr/filesets/idr0062-blin-nuclearsegmentation/20190429-ftp/Acini/E14tg2a_d2.tif			
idr0061	6001491	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0061-wolf-spindlepositioning	uod/idr/filesets/idr0061-wolf-spindlepositioning/20190403-ftp/BSF012983_1/BSF012983_1/BSF012983_1/BSF012983_1_1/BSF012983_1_1.xdce			
idr0056	9529001	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0056-stojic-lncrnas	nfs/bioimage/drop/idr0056-stojic-lncrnas/20190513-ftp/RNAi screenA/1921[652]/2014-03-12T012011+0000[704]/MeasurementIndex.ColumbusIDX.xml		https://www.ebi.ac.uk/biostudies/studies/S-BIAD3	
idr0054	5025551	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD800.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD800/a0e1b9c0-5c07-4600-b114-7b4697900e39/a0e1b9c0-5c07-4600-b114-7b4697900e39.zarr/.zattrs	S-BIAD800	https://www.ebi.ac.uk/biostudies/studies/S-BSST221	
idr0053	4495405	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0053-faas-virtualnanoscopy	uod/idr/filesets/idr0053-faas-virtualnanoscopy/20181128-ftp/figures_jcb_submission_faas_et_al/fig6/fig6.tif			
idr0052	5514379	Github	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0052-walther-condensinmap	uod/idr/metadata/idr0052-walther-condensinmap/experimentA/companions/160719_NCAPD2gfpc272c78_MitoSys2/conc/cell0005_R0001.companion.ome			
idr0051	4007821	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD815.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD815/b2633930-86b0-489e-a845-d2a7afe6ff15/b2633930-86b0-489e-a845-d2a7afe6ff15.zarr/.zattrs	S-BIAD815		
idr0050	4995034	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0050-springer-cytoskeletalsystems	uod/idr/filesets/idr0050-springer-cytoskeletalsystems/20181106-ftp/experimentB/ImagesOfExperimentB/ExperimentB_No05_DMSO_11_10min__001.czi			
idr0048	9846151	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0048-abdeladim-chroms	uod/idr/filesets/idr0048-abdeladim-chroms/20181217-ftp/Astrop65_BDV/astroP65.h5			
idr0047	4496763	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0047-neuert-yeastmrna	uod/idr/filesets/idr0047-neuert-yeastmRNA/20181016-ftp/Exp1_rep1/#1_Raw_Images/Exp1_rep1_0min_im1.tif		https://www.ebi.ac.uk/biostudies/studies/S-BIAD1	
idr0045	3509500	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0045-reichmann-zygotespindle	uod/idr/filesets/idr0045-reichmann/20180806-renamed/Figure01A/Embryo10_CEB3_T00054.tif			
idr0044	4007801	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0044-mcdole-tardislightsheet	uod/idr/filesets/idr0044-mcdole-tardislightsheet/20180412-ftp/Dataset1/ImageData/Mmu_E1_CAGTAG1.TM000036_timeFused_blending/SPM00_TM000036_CM00_CM01_CHN01.fusedStack_yzProjection.corrected.shifted.klb			
idr0043	14676985	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0043-uhlen-humanproteinatlas	uod/idr/filesets/idr0043-uhlen-humanproteinatlas/20220128-ftp/28364/58699_A_1_1.tif			
idr0042	3428066	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0042-nirschl-wsideeplearning	uod/idr/filesets/idr0042-nirschl-wsideeplearning/held-out_validation/33375_0_fal_1_0.png			
idr0041	3500676	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0041-cai-mitoticatlas	uod/idr/filesets/idr0041-cai-mitoticatlas/20180710-ftp/140411_KIF11_MitoSys1_conc/cell0003_R0028_T0001.tif			
idr0040	3491626	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0040-aymoz-singlecell	uod/idr/filesets/idr0040-aymoz-singlecell/20180215/2873/Pos20/img_000000001_07-YFPtriple_000.tif			
idr0038	3414011	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0038-held-kidneylightsheet	uod/idr/filesets/idr0038-held-kidneylightsheet/20170905-original/disk1/endpoint imaging/Cytok-PNA/10percent-Wt1-GFP-spheroid-MV.czi			
idr0037	4996332	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0037-vigilante-hipsci	uod/idr/filesets/idr0037-vigilante-hipsci/images/20140424_HipSci + BJ 3000c_well_OC__2014-04-24T17_01_22-Measurement1/Images/Index.idx.xml			
idr0036	1895787	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD855.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD855/781ac3d7-673f-47be-a4d2-3fdf3f477047/781ac3d7-673f-47be-a4d2-3fdf3f477047.zarr/.zgroup	S-BIAD855		
idr0035	3426101	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD847.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD847/8c168760-7bc0-4692-90b1-c774711e7dd8/8c168760-7bc0-4692-90b1-c774711e7dd8.zarr/.zattrs	S-BIAD847		
idr0034	3262540	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0034-kilpinen-hipsci	uod/idr/filesets/idr0034-kilpinen-hipsci/20170421-original/Nathalie/HipSci Experiment 10 Plate 1__2014-08-21T17_57_35-Measurement1/Images/Index.idx.xml		https://www.ebi.ac.uk/biostudies/studies/S-BSMS5	
idr0033	3191231	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD848.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD848/40b32e31-413f-4f2e-b034-e6fe89e30efb/40b32e31-413f-4f2e-b034-e6fe89e30efb.zarr/.zattrs	S-BIAD848		
idr0032	3125701	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0032-yang-meristem	uod/idr/filesets/idr0032-yang-meristem/20161104-original/Pictures of all GTs/AT1G02720/1.tif			
idr0030	3126551	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0030-sero-yap	uod/idr/filesets/idr0030-sero-yap/20170110-original/200972726[5176]_kinome_YAP_TAZ/MeasurementIndex.ColumbusIDX.xml		https://www.ebi.ac.uk/biostudies/studies/S-BSMS6	
idr0028	2868078	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0028-pascualvargas-rhogtpases	uod/idr/filesets/idr0028-pascualvargas-rhogtpases/20160818-original/Images/LM2_GEFGAP_siGENOME /LM2_GEFGAP_siGENOME_1A /MeasurementIndex.ColumbusIDX.xml			
idr0027	2858397	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0027-dickerson-chromatin	uod/idr/filesets/idr0027-dickerson-chromatin/20160719/ProcessedVideos/Colocalising/aaa_upper_rr_lower_ALX.dv			
idr0026	3261651	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD860.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD860/3e8c077e-5612-4ae1-a385-cfb5fb507822/3e8c077e-5612-4ae1-a385-cfb5fb507822.zarr/.zattrs	S-BIAD860		
idr0025	3260451	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD846.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD846/52304cdf-4eba-4f0a-84b1-690e0d66add9/52304cdf-4eba-4f0a-84b1-690e0d66add9.zarr/.zattrs	S-BIAD846		
idr0023	1885617	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0023-szymborska-nuclearpore	uod/idr/incoming/idr0023-szymborska-nuclearpore/20160419-original/EllenbergGroupData_for_IDR/Nucleoporins/Nup107/Nup107-aa33-51_antibody/130424_Nup107_1/AllParticles/all_particles.tif			
idr0022	6148961	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0022-koedoot-cellmigration	uod/idr/filesets/idr0022-koedoot-cellmigration/20190415-ftp/Primary PKT screen Hs578T/Endocytosis Library/09-07-2012 Endo1a/Well B02/No ROI.roi			
idr0021	1884807	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0021-lawo-pericentriolarmaterial	uod/idr/incoming/idr0021-lawo-pericentriolarmaterial/Raw-files/CDK5RAP2-C/Centrin_PCNT_Cep215_20110506/Centrin_PCNT_Cep215_20110506_Fri-1545_0_SIR_PRJ.dv			
idr0020	1874775	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0020-barr-chtog	uod/idr/filesets/idr0020-barr-chtog/20160414-original/chTOG genetic interaction screen/chTOGsh MAP screen/Alexis 040413 hMAP screen[2056]/200972429 TOG[2702]/MeasurementIndex.ColumbusIDX.xml			
idr0019	1851807	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0019-sero-nfkappab	uod/idr/filesets/idr0019-sero-nfkappab/20160414-original/22 Cell Lines Sero MSB 2015/Raw images - OME tif files by plate/22_lines_HC_EGF_200145913/MeasurementIndex.ColumbusIDX.xml			
idr0018	1920093	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0018-neff-histopathology	uod/idr/incoming/idr0018-neff-histopathology/20160503-neff-disk/RawDataTCP-linesWP6final/BAZLA-TCP/Bazla-14-100-brain - 2015-06-19 23.34.11.ndpi			
idr0017	1676033	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0017-breinig-drugscreen	uod/idr/filesets/idr0017-breinig-drugscreen/20151124/14_X-Man_10x/source/2011-11-17_X-Man_LOPAC_X01_LP_S01_1/2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce		https://www.ebi.ac.uk/biostudies/studies/S-BSMS-PGPC1	
idr0016	3407079	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD851.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD851/171961d7-6cca-4201-87e4-449ff3880d48/171961d7-6cca-4201-87e4-449ff3880d48.zarr/.zattrs	S-BIAD851		
